id_municipio,area_km2
3535101,82.125
3535200,318.74
3535309,548.407
3535408,356.05
3535507,1001.492
3535606,809.576
3535705,155.186
3535804,1018.724
3535903,140.354
3536000,366.664
3536109,209.894
3536208,359.414
3536257,84.737
3536307,602.848
3536406,374.091
3536505,138.777
3536570,256.178
3536604,737.986
3536703,727.482
3536802,158.587
3536901,260.101
3537008,712.604
3537107,108.817
3537156,152.309
3537206,670.44
3537305,711.315
3537404,974.247
3537503,223.136
3537602,326.216
3537701,232.488
3537800,746.868
3537909,681.248
3538006,731.355
3538105,184.825
3538204,154.529
3538303,482.769
3538501,175.996
3538600,385.568
3538709,1378.069
3538808,504.591
3538907,823.758
3539004,215.809
3539103,108.489
3539202,477.673
3539301,727.118
3539400,402.409
3539509,430.638
3539608,289.825
3539707,327.48
3539806,17.264
3539905,135.12
3540002,784.674
3540101,183.399
3540200,356.371
3540259,209.525
3540309,217.505
3540408,315.938
3540507,265.689
3540606,556.706
3540705,244.906
3540754,44.643
3540804,342.492
3540853,63.054
3540903,167.378
3541000,149.253
3541059,175.1
3541109,286.642
3541208,749.233
3541307,1260.281
3541406,560.637
3541505,755.203
3541604,779.2
3541653,205.672
3541703,651.341
3541802,234.914
3541901,249.399
3542008,318.937
3542107,121.645
3542206,1587.498
3542305,309.441
3542404,263.28
3542503,410.406
3542602,722.201
3542701,245.746
3542800,335.759
3542909,471.553
3543006,697.5
3543105,148.332
3543204,203.208
3543238,196.446
3543253,333.363
3543303,99.075
3543402,650.916
3543501,385.878
3543600,162.508
3543709,316.639
3543808,358.481
3543907,498.422
3544004,226.657
3544103,36.341
3544202,631.897
3544251,744.011
3544301,129.847
3544400,236.484
3544509,242.877
3544608,305.285
3544707,147.935
3544806,308.555
3544905,305.776
3545001,424.997
3545100,172.934
3545159,99.738
3545209,133.057
3545308,280.509
3545407,188.441
3545506,455.856
3545605,330.269
3545704,272.692
3545803,271.03
3546009,272.238
3546108,183.458
3546207,150.13
3546256,148.062
3546306,295.337
3546405,1114.747
3546504,134.421
3546603,206.537
3546702,98.291
3546801,363.332
3546900,153.86
3547007,252.621
3547106,166.753
3547205,129.888
3547304,179.949
3547403,209.8
3547502,754.141
3547601,288.576
3547650,79.192
3547700,552.876
3547809,175.782
3547908,310.311
3548005,154.133
3548054,1308.432
3548104,109.956
3548203,133.008
3548302,94.465
3548401,128.026
3548500,281.033
3548609,252.579
3548708,409.532
3548807,15.331
3548906,1136.907
3549003,75.579
3549102,516.399
3549201,129.462
3549250,178.396
3549300,117.665
3549409,410.863
3549508,276.952
3549607,570.685
3549706,419.684
3549805,431.944
3549904,1099.409
3549953,186.456
3550001,617.315
3550100,650.734
3550209,930.339
3550308,1521.11
3550407,611.278
3550506,731.221
3550605,306.908
3550704,402.395
3550803,252.41
3550902,617.252
3551009,148.1
3551108,352.592
3551207,141.608
3551306,167.848
3551405,283.144
3551504,126.046
3551603,203.734
3551702,403.089
3551801,1062.699
3551900,140.46
3552007,414.782
3552106,449.029
3552205,450.382
3552304,594.744
3552403,153.465
3552502,206.236
3552551,330.587
3552601,345.792
3552700,368.604
3552809,20.388
3552908,607.267
3553005,145.332
3553104,107.059
3553203,132.459
3553302,561.788
3553401,747.218
3553500,755.1
3553609,221.891
3553658,53.892
3553708,594.335
3553807,448.515
3553856,231.792
3553906,201.385
3553955,302.913
3554003,523.749
3554102,625.003
3554201,296.189
3554300,1555.803
3554409,221.541
3554508,404.396
3554607,196.79
3554656,71.348
3554706,315.267
3554755,63.421
3554805,191.094
3554904,151.594
3554953,126.731
3555000,627.986
3555109,244.77
3555208,153.235
3555307,147.797
3555356,209.861
3555406,708.105
3555505,282.179
3555604,252.434
3555703,79.056
3555802,209.262
3555901,146.901
3556008,323.916
3556107,149.741
3556206,148.538
3556305,857.661
3556354,142.595
3556404,267.178
3556453,42.489
3556503,35.12
3556602,247.716
3556701,81.604
3556800,217.726
3556909,95.429
3556958,49.832
3557006,183.517
3557105,420.703
3557154,319.056
3557204,188.727
3557303,74.144
