id_municipio,municipio_nome,id_ugrhi,nome_ugrhi
3557204,Chavantes,17,Médio Paranapanema
3511904,Clementina,20,Aguapeí
3512001,Colina,12,Baixo Pardo / Grande
3512100,Colômbia,12,Baixo Pardo / Grande
3512209,Conchal,9,Mogi-Guaçu
3512308,Conchas,10,Tietê / Sorocaba
3512407,Cordeirópolis,5,Piracicaba / Capivari / Jundiaí
3512506,Coroados,19,Baixo Tietê
3512605,Coronel Macedo,14,Alto Paranapanema
3512704,Corumbataí,5,Piracicaba / Capivari / Jundiaí
3512803,Cosmópolis,5,Piracicaba / Capivari / Jundiaí
3512902,Cosmorama,15,Turvo / Grande
3513009,Cotia,6,Alto Tietê
3513108,Cravinhos,4,Pardo
3513207,Cristais Paulista,8,Sapucaí / Grande
3513306,Cruzália,17,Médio Paranapanema
3513405,Cruzeiro,2,Paraíba do Sul
3513504,Cubatão,7,Baixada Santista
3513603,Cunha,2,Paraíba do Sul
3513702,Descalvado,9,Mogi-Guaçu
3513801,Diadema,6,Alto Tietê
3513850,Dirce Reis,18,São José dos Dourados
3513900,Divinolândia,4,Pardo
3514007,Dobrada,16,Tietê / Batalha
3514106,Dois Córregos,13,Tietê / Jacaré
3514205,Dolcinópolis,15,Turvo / Grande
3514304,Dourado,13,Tietê / Jacaré
3514403,Dracena,20,Aguapeí
3514502,Duartina,17,Médio Paranapanema
3514601,Dumont,9,Mogi-Guaçu
3514700,Echaporã,17,Médio Paranapanema
3514809,Eldorado,11,Ribeira de Iguape / Litoral Sul
3514908,Elias Fausto,5,Piracicaba / Capivari / Jundiaí
3514924,Elisiário,16,Tietê / Batalha
3514957,Embaúba,15,Turvo / Grande
3515004,Embu das Artes,6,Alto Tietê
3515103,Embu-Guaçu,6,Alto Tietê
3515129,Emilianópolis,21,Peixe
3515152,Engenheiro Coelho,9,Mogi-Guaçu
3515186,Espírito Santo do Pinhal,9,Mogi-Guaçu
3515194,Espírito Santo do Turvo,17,Médio Paranapanema
3557303,Estiva Gerbi,9,Mogi-Guaçu
3515301,Estrela do Norte,22,Pontal do Paranapanema
3515202,Estrela d'Oeste,15,Turvo / Grande
3515350,Euclides da Cunha Paulista,22,Pontal do Paranapanema
3515400,Fartura,14,Alto Paranapanema
3515608,Fernando Prestes,15,Turvo / Grande
3515509,Fernandópolis,15,Turvo / Grande
3515657,Fernão,17,Médio Paranapanema
3515707,Ferraz de Vasconcelos,6,Alto Tietê
3515806,Flora Rica,21,Peixe
3515905,Floreal,18,São José dos Dourados
3516002,Flórida Paulista,21,Peixe
3516101,Florínea,17,Médio Paranapanema
3516200,Franca,8,Sapucaí / Grande
3516309,Francisco Morato,6,Alto Tietê
3516408,Franco da Rocha,6,Alto Tietê
3516507,Gabriel Monteiro,20,Aguapeí
3516606,Gália,17,Médio Paranapanema
3516705,Garça,20,Aguapeí
3516804,Gastão Vidigal,19,Baixo Tietê
3516853,Gavião Peixoto,13,Tietê / Jacaré
3516903,General Salgado,18,São José dos Dourados
3517000,Getulina,20,Aguapeí
3517109,Glicério,19,Baixo Tietê
3517208,Guaiçara,16,Tietê / Batalha
3517307,Guaimbê,20,Aguapeí
3517406,Guaíra,8,Sapucaí / Grande
3517505,Guapiaçu,15,Turvo / Grande
3517604,Guapiara,14,Alto Paranapanema
3517703,Guará,8,Sapucaí / Grande
3517802,Guaraçaí,19,Baixo Tietê
3517901,Guaraci,12,Baixo Pardo / Grande
3518008,Guarani d'Oeste,15,Turvo / Grande
3518107,Guarantã,16,Tietê / Batalha
3518206,Guararapes,19,Baixo Tietê
3518305,Guararema,2,Paraíba do Sul
3518404,Guaratinguetá,2,Paraíba do Sul
3518503,Guareí,14,Alto Paranapanema
3518602,Guariba,9,Mogi-Guaçu
3518701,Guarujá,7,Baixada Santista
3518800,Guarulhos,6,Alto Tietê
3518859,Guatapará,9,Mogi-Guaçu
3518909,Guzolândia,18,São José dos Dourados
3519006,Herculândia,20,Aguapeí
3519055,Holambra,5,Piracicaba / Capivari / Jundiaí
3519071,Hortolândia,5,Piracicaba / Capivari / Jundiaí
3519105,Iacanga,13,Tietê / Jacaré
3519204,Iacri,20,Aguapeí
3519253,Iaras,17,Médio Paranapanema
3519303,Ibaté,13,Tietê / Jacaré
3519402,Ibirá,16,Tietê / Batalha
3519501,Ibirarema,17,Médio Paranapanema
3519600,Ibitinga,13,Tietê / Jacaré
3519709,Ibiúna,10,Tietê / Sorocaba
3519808,Icém,12,Baixo Pardo / Grande
3519907,Iepê,22,Pontal do Paranapanema
3520004,Igaraçu do Tietê,13,Tietê / Jacaré
3520103,Igarapava,8,Sapucaí / Grande
3520202,Igaratá,2,Paraíba do Sul
3520301,Iguape,11,Ribeira de Iguape / Litoral Sul
3520426,Ilha Comprida,11,Ribeira de Iguape / Litoral Sul
3520442,Ilha Solteira,18,São José dos Dourados
3520400,Ilhabela,3,Litoral Norte
3520509,Indaiatuba,5,Piracicaba / Capivari / Jundiaí
3520608,Indiana,21,Peixe
3520707,Indiaporã,15,Turvo / Grande
3520806,Inúbia Paulista,21,Peixe
3520905,Ipaussu,14,Alto Paranapanema
3521002,Iperó,10,Tietê / Sorocaba
3521101,Ipeúna,5,Piracicaba / Capivari / Jundiaí
3521150,Ipiguá,15,Turvo / Grande
3521200,Iporanga,11,Ribeira de Iguape / Litoral Sul
3521309,Ipuã,8,Sapucaí / Grande
3521408,Iracemápolis,5,Piracicaba / Capivari / Jundiaí
3521507,Irapuã,16,Tietê / Batalha
3521606,Irapuru,21,Peixe
3521705,Itaberá,14,Alto Paranapanema
3521804,Itaí,14,Alto Paranapanema
3521903,Itajobi,16,Tietê / Batalha
3522000,Itaju,13,Tietê / Jacaré
3522109,Itanhaém,7,Baixada Santista
3522158,Itaóca,11,Ribeira de Iguape / Litoral Sul
3522208,Itapecerica da Serra,6,Alto Tietê
3522307,Itapetininga,14,Alto Paranapanema
3522406,Itapeva,14,Alto Paranapanema
3522505,Itapevi,6,Alto Tietê
3522604,Itapira,9,Mogi-Guaçu
3522653,Itapirapuã Paulista,11,Ribeira de Iguape / Litoral Sul
3522703,Itápolis,16,Tietê / Batalha
3522802,Itaporanga,14,Alto Paranapanema
3522901,Itapuí,13,Tietê / Jacaré
3523008,Itapura,19,Baixo Tietê
3523107,Itaquaquecetuba,6,Alto Tietê
3523206,Itararé,14,Alto Paranapanema
3523305,Itariri,11,Ribeira de Iguape / Litoral Sul
3523404,Itatiba,5,Piracicaba / Capivari / Jundiaí
3523503,Itatinga,17,Médio Paranapanema
3523602,Itirapina,13,Tietê / Jacaré
3523701,Itirapuã,8,Sapucaí / Grande
3523800,Itobi,4,Pardo
3523909,Itu,10,Tietê / Sorocaba
3524006,Itupeva,5,Piracicaba / Capivari / Jundiaí
3524105,Ituverava,8,Sapucaí / Grande
3524204,Jaborandi,12,Baixo Pardo / Grande
3524303,Jaboticabal,9,Mogi-Guaçu
3524402,Jacareí,2,Paraíba do Sul
3524501,Jaci,16,Tietê / Batalha
3524600,Jacupiranga,11,Ribeira de Iguape / Litoral Sul
3524709,Jaguariúna,5,Piracicaba / Capivari / Jundiaí
3524808,Jales,18,São José dos Dourados
3524907,Jambeiro,2,Paraíba do Sul
3525003,Jandira,6,Alto Tietê
3525102,Jardinópolis,4,Pardo
3525201,Jarinu,5,Piracicaba / Capivari / Jundiaí
3525300,Jaú,13,Tietê / Jacaré
3525409,Jeriquara,8,Sapucaí / Grande
3525508,Joanópolis,5,Piracicaba / Capivari / Jundiaí
3525607,João Ramalho,17,Médio Paranapanema
3525706,José Bonifácio,19,Baixo Tietê
3525805,Júlio Mesquita,20,Aguapeí
