id_municipio,municipio_nome,id_cetesb
3521150,Ipiguá,784
3521200,Iporanga,360
3521309,Ipuã,361
3521408,Iracemápolis,362
3521507,Irapuã,363
3521606,Irapuru,364
3521705,Itaberá,365
3521804,Itaí,366
3521903,Itajobi,367
3522000,Itaju,368
3522109,Itanhaém,369
3522158,Itaóca,750
3522208,Itapecerica da Serra,370
3522307,Itapetininga,371
3522406,Itapeva,372
3522505,Itapevi,373
3522604,Itapira,374
3522653,Itapirapuã Paulista,768
3522703,Itápolis,375
3522802,Itaporanga,376
3522901,Itapuí,377
3523008,Itapura,378
3523107,Itaquaquecetuba,379
3523206,Itararé,380
3523305,Itariri,381
3523404,Itatiba,382
3523503,Itatinga,383
3523602,Itirapina,384
3523701,Itirapuã,385
3523800,Itobi,386
3523909,Itu,387
3524006,Itupeva,388
3524105,Ituverava,389
3524204,Jaborandi,390
3524303,Jaboticabal,391
3524402,Jacareí,392
3524501,Jaci,393
3524600,Jacupiranga,394
3524709,Jaguariúna,395
3524808,Jales,396
3524907,Jambeiro,397
3525003,Jandira,398
3525102,Jardinópolis,399
3525201,Jarinu,400
3525300,Jaú,401
3525409,Jeriquara,402
3525508,Joanópolis,403
3525607,João Ramalho,404
3525706,José Bonifácio,405
3525805,Júlio Mesquita,406
3525854,Jumirim,788
3525904,Jundiaí,407
3526001,Junqueirópolis,408
3526100,Juquiá,409
3526209,Juquitiba,410
3526308,Lagoinha,411
3526407,Laranjal Paulista,412
3526506,Lavínia,413
3526605,Lavrinhas,414
3526704,Leme,415
3526803,Lençóis Paulista,416
3526902,Limeira,417
3527009,Lindóia,418
3527108,Lins,419
3527207,Lorena,420
3527256,Lourdes,769
3527306,Louveira,421
3527405,Lucélia,422
3527504,Lucianópolis,423
3527603,Luís Antônio,424
3527702,Luiziânia,425
3527801,Lupércio,426
3527900,Lutécia,427
3528007,Macatuba,428
3528106,Macaubal,429
3528205,Macedônia,430
3528304,Magda,431
3528403,Mairinque,432
3528502,Mairiporã,433
3528601,Manduri,434
3528700,Marabá Paulista,435
3528809,Maracaí,436
3528858,Marapoama,751
3528908,Mariápolis,437
3529005,Marília,438
3529104,Marinópolis,439
3529203,Martinópolis,440
3529302,Matão,441
3529401,Mauá,442
3529500,Mendonça,443
3529609,Meridiano,444
3529658,Mesópolis,770
3529708,Miguelópolis,445
3529807,Mineiros do Tietê,446
3530003,Mira Estrela,447
3529906,Miracatu,448
3530102,Mirandópolis,449
3530201,Mirante do Paranapanema,450
3530300,Mirassol,451
3530409,Mirassolândia,452
3530508,Mococa,453
3530706,Mogi Guaçu,455
3530607,Mogi das Cruzes,454
3530805,Mogi Mirim,456
3530904,Mombuca,457
3531001,Monções,458
3531100,Mongaguá,459
3531209,Monte Alegre do Sul,460
3531308,Monte Alto,461
3531407,Monte Aprazível,462
3531506,Monte Azul Paulista,463
3531605,Monte Castelo,464
3531803,Monte Mor,465
3531704,Monteiro Lobato,466
